ref_area,time_period,population
AUT,1950,6935100.0
AUT,1951,6935451.0
AUT,1952,6927772.0
AUT,1953,6932483.0
AUT,1954,6940209.0
AUT,1955,6946885.0
AUT,1956,6952359.0
AUT,1957,6965860.0
AUT,1958,6987358.0
AUT,1959,7014331.0
AUT,1960,7047539.0
AUT,1961,7086299.0
AUT,1962,7129864.0
AUT,1963,7175811.0
AUT,1964,7223801.0
AUT,1965,7270889.0
AUT,1966,7322066.0
AUT,1967,7376998.0
AUT,1968,7415403.0
AUT,1969,7441055.0
AUT,1970,7467086.0
AUT,1971,7500482.0
AUT,1972,7544201.0
AUT,1973,7586115.0
AUT,1974,7599038.0
AUT,1975,7578903.0
AUT,1976,7565525.0
AUT,1977,7568430.0
AUT,1978,7562305.0
AUT,1979,7549425.0
AUT,1980,7549433.0
AUT,1981,7568710.0
AUT,1982,7574140.0
AUT,1983,7561910.0
AUT,1984,7561434.0
AUT,1985,7564984.0
AUT,1986,7569794.0
AUT,1987,7574586.0
AUT,1988,7585317.0
AUT,1989,7619566.0
AUT,1990,7677850.0
AUT,1991,7754891.0
AUT,1992,7840709.0
AUT,1993,7905632.0
AUT,1994,7936118.0
AUT,1995,7948278.0
AUT,1996,7959016.0
AUT,1997,7968041.0
AUT,1998,7976789.0
AUT,1999,7992323.0
AUT,2000,8011566.0
AUT,2001,8042293.0
AUT,2002,8082121.0
AUT,2003,8118245.0
AUT,2004,8169441.0
AUT,2005,8225278.0
AUT,2006,8267948.0
AUT,2007,8295189.0
AUT,2008,8321541.0
AUT,2009,8341483.0
AUT,2010,8361069.0
AUT,2011,8388534.0
AUT,2012,8426311.0
AUT,2013,8477230.0
AUT,2014,8543932.0
AUT,2015,8629519.0
AUT,2016,8739806.0
AUT,2017,8795073.0
AUT,2018,8837707.0
AUT,2019,8877637.0
AUT,2020,8916845.0
AUT,2021,8951520.0
CAN,1950,14018606.0
CAN,1951,14318204.0
CAN,1952,14776291.0
CAN,1953,15169815.0
CAN,1954,15620550.0
CAN,1955,16040090.0
CAN,1956,16431419.0
CAN,1957,16970940.0
CAN,1958,17450075.0
CAN,1959,17861347.0
CAN,1960,18256447.0
CAN,1961,18634666.0
CAN,1962,18989309.0
CAN,1963,19347231.0
CAN,1964,19719595.0
CAN,1965,20084314.0
CAN,1966,20420867.0
CAN,1967,20795138.0
CAN,1968,21129417.0
CAN,1969,21439830.0
CAN,1970,21746497.0
CAN,1971,21962032.0
CAN,1972,22218463.0
CAN,1973,22491777.0
CAN,1974,22807969.0
CAN,1975,23143275.0
CAN,1976,23449808.0
CAN,1977,23725843.0
CAN,1978,23963203.0
CAN,1979,24201544.0
CAN,1980,24515667.0
CAN,1981,24819915.0
CAN,1982,25116942.0
CAN,1983,25366451.0
CAN,1984,25607053.0
CAN,1985,25842116.0
CAN,1986,26100278.0
CAN,1987,26446601.0
CAN,1988,26791747.0
CAN,1989,27276781.0
CAN,1990,27691138.0
CAN,1991,28037420.0
CAN,1992,28371264.0
CAN,1993,28684764.0
CAN,1994,29000663.0
CAN,1995,29302311.0
CAN,1996,29610218.0
CAN,1997,29905948.0
CAN,1998,30155173.0
CAN,1999,30401286.0
CAN,2000,30685730.0
CAN,2001,31020902.0
CAN,2002,31360079.0
CAN,2003,31644028.0
CAN,2004,31940655.0
CAN,2005,32243753.0
CAN,2006,32571174.0
CAN,2007,32889025.0
CAN,2008,33247118.0
CAN,2009,33628895.0
CAN,2010,34004889.0
CAN,2011,34339328.0
CAN,2012,34714222.0
CAN,2013,35082954.0
CAN,2014,35437435.0
CAN,2015,35702908.0
CAN,2016,36109487.0
CAN,2017,36545236.0
CAN,2018,37065084.0
CAN,2019,37601230.0
CAN,2020,38037204.0
CAN,2021,38246108.0
JPN,1950,84109139.0
JPN,1951,85475000.0
JPN,1952,86765900.0
JPN,1953,87955300.0
JPN,1954,89026700.0
JPN,1955,90076594.0
JPN,1956,90992000.0
JPN,1957,91763000.0
JPN,1958,92621000.0
JPN,1959,93514000.0
JPN,1960,94301623.0
JPN,1961,95181000.0
JPN,1962,96087000.0
JPN,1963,97075000.0
JPN,1964,98110000.0
JPN,1965,99209137.0
JPN,1966,99978000.0
JPN,1967,101145000.0
JPN,1968,102287000.0
JPN,1969,103491000.0
JPN,1970,104665171.0
JPN,1971,106100000.0
JPN,1972,107595000.0
JPN,1973,109104000.0
JPN,1974,110573000.0
JPN,1975,111939643.0
JPN,1976,113094000.0
JPN,1977,114165000.0
JPN,1978,115190000.0
JPN,1979,116155000.0
JPN,1980,117060396.0
JPN,1981,117902000.0
JPN,1982,118728000.0
JPN,1983,119536000.0
JPN,1984,120305000.0
JPN,1985,121048923.0
JPN,1986,121660000.0
JPN,1987,122239000.0
JPN,1988,122745000.0
JPN,1989,123205000.0
JPN,1990,123611167.0
JPN,1991,124101000.0
JPN,1992,124567000.0
JPN,1993,124938000.0
JPN,1994,125265000.0
JPN,1995,125570246.0
JPN,1996,125864000.0
JPN,1997,126166000.0
JPN,1998,126486000.0
JPN,1999,126686000.0
JPN,2000,126925843.0
JPN,2001,127291000.0
JPN,2002,127435000.0
JPN,2003,127619000.0
JPN,2004,127687000.0
JPN,2005,127767994.0
JPN,2006,127900515.0
JPN,2007,128032743.0
JPN,2008,128083960.0
JPN,2009,128031514.0
JPN,2010,128057352.0
JPN,2011,127834233.0
JPN,2012,127592657.0
JPN,2013,127413888.0
JPN,2014,127237150.0
JPN,2015,127094745.0
JPN,2016,126932772.0
JPN,2017,126706210.0
JPN,2018,126443180.0
JPN,2019,126166948.0
JPN,2020,126146099.0
JPN,2021,125502290.0
SVK,1950,3463446.0
SVK,1951,3508698.0
SVK,1952,3558137.0
SVK,1953,3598761.0
SVK,1954,3661437.0
SVK,1955,3726601.0
SVK,1956,3787111.0
SVK,1957,3844277.0
SVK,1958,3899751.0
SVK,1959,3946039.0
SVK,1960,3994270.0
SVK,1961,4191977.0
SVK,1962,4238056.0
SVK,1963,4282865.0
SVK,1964,4327949.0
SVK,1965,4373595.0
SVK,1966,4413853.0
SVK,1967,4450880.0
SVK,1968,4483656.0
SVK,1969,4518773.0
SVK,1970,4528459.0
SVK,1971,4559341.0
SVK,1972,4596330.0
SVK,1973,4640673.0
SVK,1974,4691014.0
SVK,1975,4739301.0
SVK,1976,4789452.0
SVK,1977,4840819.0
SVK,1978,4891673.0
SVK,1979,4940223.0
SVK,1980,4984331.0
SVK,1981,5017032.0
SVK,1982,5054770.0
SVK,1983,5091537.0
SVK,1984,5127719.0
SVK,1985,5161789.0
SVK,1986,5192789.0
SVK,1987,5223609.0
SVK,1988,5251120.0
SVK,1989,5276186.0
SVK,1990,5297774.0
SVK,1991,5283404.0
SVK,1992,5306539.0
SVK,1993,5324632.0
SVK,1994,5347413.0
SVK,1995,5363676.0
SVK,1996,5373793.0
SVK,1997,5383233.0
SVK,1998,5390866.0
SVK,1999,5395324.0
SVK,2000,5400679.0
SVK,2001,5379780.0
SVK,2002,5378809.0
SVK,2003,5378950.0
SVK,2004,5382574.0
SVK,2005,5387285.0
SVK,2006,5391184.0
SVK,2007,5397766.0
SVK,2008,5406972.0
SVK,2009,5418374.0
SVK,2010,5431024.0
SVK,2011,5398384.0
SVK,2012,5407579.0
SVK,2013,5413392.5
SVK,2014,5418649.0
SVK,2015,5423800.5
SVK,2016,5430797.5
SVK,2017,5439231.5
SVK,2018,5446770.5
SVK,2019,5454147.0
SVK,2020,5458827.0
SVK,2021,5441991.0
CHE,1950,4692704.0
CHE,1951,4748057.0
CHE,1952,4811514.0
CHE,1953,4875565.0
CHE,1954,4938609.0
CHE,1955,5001962.0
CHE,1956,5065497.0
CHE,1957,5130046.0
CHE,1958,5196395.0
CHE,1959,5262793.0
CHE,1960,5327872.0
CHE,1961,5434294.0
CHE,1962,5573815.0
CHE,1963,5694247.0
CHE,1964,5789228.0
CHE,1965,5856472.0
CHE,1966,5918002.0
CHE,1967,5991785.0
CHE,1968,6067714.0
CHE,1969,6136387.0
CHE,1970,6180882.0
CHE,1971,6213405.0
CHE,1972,6260956.0
CHE,1973,6307348.0
CHE,1974,6341406.0
CHE,1975,6338632.0
CHE,1976,6302505.0
CHE,1977,6281175.0
CHE,1978,6281737.0
CHE,1979,6294364.0
CHE,1980,6319409.0
CHE,1981,6354073.0
CHE,1982,6391309.0
CHE,1983,6418774.0
CHE,1984,6441865.0
CHE,1985,6470366.0
CHE,1986,6504125.0
CHE,1987,6545107.0
CHE,1988,6593387.0
CHE,1989,6646912.0
CHE,1990,6712273.0
CHE,1991,6799979.0
CHE,1992,6875364.0
CHE,1993,6938265.0
CHE,1994,6993795.0
CHE,1995,7040687.0
CHE,1996,7071851.0
CHE,1997,7088906.0
CHE,1998,7110002.0
CHE,1999,7143991.0
CHE,2000,7184250.0
CHE,2001,7226647.0
CHE,2002,7284754.0
CHE,2003,7339002.0
CHE,2004,7389626.0
CHE,2005,7437116.0
CHE,2006,7483935.0
CHE,2007,7551117.0
CHE,2008,7647676.0
CHE,2009,7743832.0
CHE,2010,7824910.0
CHE,2011,7912396.0
CHE,2012,7996861.0
CHE,2013,8089346.0
CHE,2014,8188646.0
CHE,2015,8282398.0
CHE,2016,8373334.0
CHE,2017,8451834.0
CHE,2018,8514327.0
CHE,2019,8575280.0
CHE,2020,8638169.0
CHE,2021,8704542.0
CYP,1950,493956.0
CYP,1951,501275.0
CYP,1952,508970.0
CYP,1953,517020.0
CYP,1954,525402.0
CYP,1955,534125.0
CYP,1956,543251.0
CYP,1957,552886.0
CYP,1958,563153.0
CYP,1959,574160.0
CYP,1960,585725.0
CYP,1961,594775.0
CYP,1962,601094.0
CYP,1963,607073.0
CYP,1964,612339.0
CYP,1965,617344.0
CYP,1966,622569.0
CYP,1967,627695.0
CYP,1968,632454.0
CYP,1969,636820.0
CYP,1970,640802.0
CYP,1971,644417.0
CYP,1972,647621.0
CYP,1973,650706.0
CYP,1974,648586.0
CYP,1975,644984.0
CYP,1976,648869.0
CYP,1977,656417.0
CYP,1978,663975.0
CYP,1979,671610.0
CYP,1980,679330.0
CYP,1981,687174.0
CYP,1982,523734.0
CYP,1983,528071.0
CYP,1984,534958.0
CYP,1985,541502.0
CYP,1986,547747.0
CYP,1987,553736.0
CYP,1988,559639.0
CYP,1989,567674.0
CYP,1990,579898.0
CYP,1991,595105.0
CYP,1992,611151.0
CYP,1993,626087.0
CYP,1994,639170.0
CYP,1995,650860.0
CYP,1996,661326.0
CYP,1997,670764.0
CYP,1998,679042.0
CYP,1999,686675.0
CYP,2000,694020.0
CYP,2001,701537.0
CYP,2002,709631.0
CYP,2003,718305.0
CYP,2004,727977.0
CYP,2005,738541.0
CYP,2006,750964.0
CYP,2007,767128.0
CYP,2008,786630.0
CYP,2009,808038.0
CYP,2010,829444.0
CYP,2011,850882.0
CYP,2012,863945.0
CYP,2013,861938.0
CYP,2014,852511.0
CYP,2015,847662.0
CYP,2016,851559.0
CYP,2017,859520.0
CYP,2018,870071.0
CYP,2019,881949.0
CYP,2020,892006.0
CYP,2021,899939.0
CZE,1950,8925122.0
CZE,1951,9023170.0
CZE,1952,9125183.0
CZE,1953,9220908.0
CZE,1954,9290617.0
CZE,1955,9365969.0
CZE,1956,9442040.0
CZE,1957,9513758.0
CZE,1958,9574650.0
CZE,1959,9618554.0
CZE,1960,9659818.0
CZE,1961,9588016.0
CZE,1962,9621808.0
CZE,1963,9668741.0
CZE,1964,9730019.0
CZE,1965,9785102.0
CZE,1966,9826188.0
CZE,1967,9854241.0
CZE,1968,9877632.0
CZE,1969,9896695.0
CZE,1970,9805157.0
CZE,1971,9830602.0
CZE,1972,9868379.0
CZE,1973,9919519.0
CZE,1974,9994761.0
CZE,1975,10062366.0
CZE,1976,10128220.0
CZE,1977,10189312.0
CZE,1978,10245686.0
CZE,1979,10296489.0
CZE,1980,10326792.0
CZE,1981,10303208.0
CZE,1982,10314321.0
CZE,1983,10322823.0
CZE,1984,10330481.0
CZE,1985,10336742.0
CZE,1986,10340737.0
CZE,1987,10348834.0
CZE,1988,10356359.0
CZE,1989,10362257.0
CZE,1990,10362740.0
CZE,1991,10308682.0
CZE,1992,10317807.0
CZE,1993,10330607.0
CZE,1994,10336162.0
CZE,1995,10330759.0
CZE,1996,10315353.0
CZE,1997,10303642.0
CZE,1998,10294943.0
CZE,1999,10282784.0
CZE,2000,10272503.0
CZE,2001,10224192.0
CZE,2002,10200774.0
CZE,2003,10201651.0
CZE,2004,10206923.0
CZE,2005,10234092.0
CZE,2006,10266646.0
CZE,2007,10322689.0
CZE,2008,10429692.0
CZE,2009,10491492.0
CZE,2010,10517247.0
CZE,2011,10496672.0
CZE,2012,10509286.0
CZE,2013,10510719.0
CZE,2014,10524783.0
CZE,2015,10542942.0
CZE,2016,10565284.0
CZE,2017,10589526.0
CZE,2018,10626430.0
CZE,2019,10669324.0
CZE,2020,10700155.0
CZE,2021,10500850.0
IRL,1950,2969000.0
IRL,1951,2960600.0
IRL,1952,2952900.0
IRL,1953,2949000.0
IRL,1954,2941200.0
IRL,1955,2920900.0
IRL,1956,2898500.0
IRL,1957,2885300.0
IRL,1958,2852700.0
IRL,1959,2845600.0
IRL,1960,2832100.0
IRL,1961,2818300.0
IRL,1962,2830100.0
IRL,1963,2850000.0
IRL,1964,2863800.0
IRL,1965,2875800.0
IRL,1966,2884000.0
IRL,1967,2899700.0
IRL,1968,2912200.0
IRL,1969,2925200.0
IRL,1970,2949900.0
IRL,1971,2978200.0
IRL,1972,3024400.0
IRL,1973,3073000.0
IRL,1974,3123900.0
IRL,1975,3177200.0
IRL,1976,3227800.0
IRL,1977,3271900.0
IRL,1978,3314000.0
IRL,1979,3368200.0
IRL,1980,3401000.0
IRL,1981,3443400.0
IRL,1982,3480000.0
IRL,1983,3504000.0
IRL,1984,3529000.0
IRL,1985,3540000.0
IRL,1986,3540600.0
IRL,1987,3546500.0
IRL,1988,3530700.0
IRL,1989,3509500.0
IRL,1990,3505800.0
IRL,1991,3525700.0
IRL,1992,3554500.0
IRL,1993,3574100.0
IRL,1994,3585900.0
IRL,1995,3601300.0
IRL,1996,3626087.0
IRL,1997,3664313.0
IRL,1998,3703082.0
IRL,1999,3741647.0
IRL,2000,3789536.0
IRL,2001,3847198.0
IRL,2002,3917203.0
IRL,2003,3979853.0
IRL,2004,4045188.0
IRL,2005,4133839.0
IRL,2006,4232929.0
IRL,2007,4375842.0
IRL,2008,4485070.0
IRL,2009,4533395.0
IRL,2010,4554763.0
IRL,2011,4574888.0
IRL,2012,4593697.0
IRL,2013,4614669.0
IRL,2014,4645440.0
IRL,2015,4687787.0
IRL,2016,4739597.0
IRL,2017,4792490.0
IRL,2018,4857015.0
IRL,2019,4921496.0
IRL,2020,4977443.0
IRL,2021,5011460.0
GBR,1950,50373389.0
GBR,1951,50282336.0
GBR,1952,50443878.0
GBR,1953,50610712.0
GBR,1954,50784636.0
GBR,1955,50968092.0
GBR,1956,51208178.0
GBR,1957,51455520.0
GBR,1958,51680292.0
GBR,1959,51985360.0
GBR,1960,52448523.0
GBR,1961,52708934.0
GBR,1962,53341128.0
GBR,1963,53678200.0
GBR,1964,54065700.0
GBR,1965,54435700.0
GBR,1966,54654100.0
GBR,1967,54978400.0
GBR,1968,55282500.0
GBR,1969,55534000.0
GBR,1970,55710700.0
GBR,1971,55928013.0
GBR,1972,56096677.0
GBR,1973,56222893.0
GBR,1974,56235642.0
GBR,1975,56225718.0
GBR,1976,56216121.0
GBR,1977,56189910.0
GBR,1978,56178025.0
GBR,1979,56240053.0
GBR,1980,56329673.0
GBR,1981,56357464.0
GBR,1982,56290711.0
GBR,1983,56315677.0
GBR,1984,56409327.0
GBR,1985,56553955.0
GBR,1986,56683835.0
GBR,1987,56803958.0
GBR,1988,56916448.0
GBR,1989,57076451.0
GBR,1990,57237493.0
GBR,1991,57438658.0
GBR,1992,57584530.0
GBR,1993,57713889.0
GBR,1994,57862145.0
GBR,1995,58024799.0
GBR,1996,58164374.0
GBR,1997,58314249.0
GBR,1998,58474943.0
GBR,1999,58684427.0
GBR,2000,58886065.0
GBR,2001,59113016.0
GBR,2002,59365677.0
GBR,2003,59636662.0
GBR,2004,59950364.0
GBR,2005,60413276.0
GBR,2006,60827067.0
GBR,2007,61319075.0
GBR,2008,61823772.0
GBR,2009,62260486.0
GBR,2010,62759456.0
GBR,2011,63285145.0
GBR,2012,63705030.0
GBR,2013,64105654.0
GBR,2014,64596752.0
GBR,2015,65110034.0
GBR,2016,65648054.0
GBR,2017,66040229.0
GBR,2018,66435550.0
GBR,2019,66796807.0
GBR,2020,67081234.0
GBR,2021,67350695.0
FIN,1950,4008902.0
FIN,1951,4047264.0
FIN,1952,4090476.0
FIN,1953,4139418.0
FIN,1954,4186901.0
FIN,1955,4234881.0
FIN,1956,4281703.0
FIN,1957,4324012.0
FIN,1958,4359753.0
FIN,1959,4394680.0
FIN,1960,4429633.0
FIN,1961,4461007.0
FIN,1962,4491442.0
FIN,1963,4523307.0
FIN,1964,4548545.0
FIN,1965,4563732.0
FIN,1966,4580868.0
FIN,1967,4605743.0
FIN,1968,4626471.0
FIN,1969,4623785.0
FIN,1970,4606304.0
